Date,Open,High,Low,Close,Adj Close,Volume,Label
1/20/2017,19795.06055,19843.93945,19759.14063,19827.25,19827.25,435260000,1
1/19/2017,19813.55078,19824.14063,19677.93945,19732.40039,19732.40039,301750000,0
1/18/2017,19822.73047,19828.19922,19739,19804.7207,19804.7207,279760000,0
1/17/2017,19848.82031,19882.99023,19775.34961,19826.76953,19826.76953,341900000,0
1/13/2017,19912.53906,19952.0293,19849.38086,19885.73047,19885.73047,263780000,0
1/12/2017,19926.21094,19929.28906,19770.4707,19891,19891,306290000,0
1/11/2017,19887.38086,19973.41992,19833.16016,19954.2793,19954.2793,336150000,1
1/10/2017,19876.34961,19957.11914,19836.0293,19855.5293,19855.5293,299410000,0
1/9/2017,19931.41016,19943.7793,19887.38086,19887.38086,19887.38086,287510000,0
1/6/2017,19906.96094,19999.63086,19834.08008,19963.80078,19963.80078,277700000,1
1/5/2017,19924.56055,19948.59961,19811.11914,19899.28906,19899.28906,269920000,0
1/4/2017,19890.93945,19956.14063,19878.83008,19942.16016,19942.16016,280010000,1
1/3/2017,19872.85938,19938.5293,19775.92969,19881.75977,19881.75977,339180000,1
12/30/2016,19833.16992,19852.55078,19718.66992,19762.59961,19762.59961,271910000,0
12/29/2016,19835.46094,19878.43945,19788.93945,19819.7793,19819.7793,172040000,0
12/28/2016,19964.31055,19981.10938,19827.31055,19833.67969,19833.67969,188350000,0
12/27/2016,19943.46094,19980.24023,19939.80078,19945.03906,19945.03906,158540000,1
12/23/2016,19908.60938,19934.15039,19899.06055,19933.81055,19933.81055,158260000,1
12/22/2016,19922.67969,19933.83008,19882.18945,19918.88086,19918.88086,258290000,0
12/21/2016,19968.9707,19986.56055,19941.96094,19941.96094,19941.96094,256640000,0
12/20/2016,19920.58984,19987.63086,19920.41992,19974.61914,19974.61914,284080000,1
12/19/2016,19836.66016,19917.7793,19832.94922,19883.06055,19883.06055,302310000,1
12/16/2016,19909.00977,19923.16992,19821,19843.41016,19843.41016,573470000,0
